number,value,datetime_start,datetime_complete,duration,params_dim_n_components,params_xgb_alpha,params_xgb_colsample_bynode,params_xgb_lambda,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_min_split_loss,params_xgb_subsample,user_attrs_f1_discrepancy,user_attrs_hyperparameters,user_attrs_model_dim,user_attrs_model_xgb,state
10,0.651577,2025-08-10 21:43:11.438437,2025-08-10 21:43:43.232658,0 days 00:00:31.794221,1000,13.558217973225247,0.41280400711762066,14.350647779441982,0.0004124662544192987,8,15.353706103537174,1.0605769484110272,0.7526032393382514,0.14205800000000002,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=8, xgb_learning_rate=0.0004124662544192987, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.41280400711762066, xgb_subsample=0.7526032393382514, xgb_min_split_loss=1.0605769484110272, xgb_min_child_weight=15.353706103537174)",,,COMPLETE
11,0.687294,2025-08-10 21:43:43.233137,2025-08-10 21:44:03.380319,0 days 00:00:20.147182,1000,13.403746254548363,0.39571862219022924,10.999010191513522,0.008591078234494608,3,8.854726048529047,1.8923796255302456,0.7092580057796721,0.202963,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=3, xgb_learning_rate=0.008591078234494608, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.39571862219022924, xgb_subsample=0.7092580057796721, xgb_min_split_loss=1.8923796255302456, xgb_min_child_weight=8.854726048529047)",,,COMPLETE
12,0.68199,2025-08-10 21:44:03.380900,2025-08-10 21:44:22.245020,0 days 00:00:18.864120,200,14.841745978712943,0.4446751708234846,12.601463892786585,0.008188645736295982,10,9.106157294317608,1.9896967104104073,0.7973406487088657,0.247498,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=10, xgb_learning_rate=0.008188645736295982, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.4446751708234846, xgb_subsample=0.7973406487088657, xgb_min_split_loss=1.9896967104104073, xgb_min_child_weight=9.106157294317608)",,,COMPLETE
13,0.68691,2025-08-10 21:44:22.245507,2025-08-10 21:44:47.138101,0 days 00:00:24.892594,1000,11.272111424416511,0.35015476499650033,11.01433954523066,0.00424418357810481,7,12.453449946183598,1.709668311561046,0.5975345327552243,0.277999,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=7, xgb_learning_rate=0.00424418357810481, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.35015476499650033, xgb_subsample=0.5975345327552243, xgb_min_split_loss=1.709668311561046, xgb_min_child_weight=12.453449946183598)",,,COMPLETE
14,0.686803,2025-08-10 21:44:47.138647,2025-08-10 21:45:13.114005,0 days 00:00:25.975358,1000,10.754644628506746,0.4860404284140414,10.774518546835795,0.005040406297650448,7,12.966860455271904,1.9386318597838346,0.6240912792852984,0.28949199999999997,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=7, xgb_learning_rate=0.005040406297650448, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.4860404284140414, xgb_subsample=0.6240912792852984, xgb_min_split_loss=1.9386318597838346, xgb_min_child_weight=12.966860455271904)",,,COMPLETE
15,0.686195,2025-08-10 21:45:13.114585,2025-08-10 21:45:37.923704,0 days 00:00:24.809119,900,10.997989884342173,0.3493395746084652,5.232655729913404,0.0041116733755334825,6,11.970323321105763,3.4259107721077195,0.6746070406439421,0.24622299999999997,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=6, xgb_learning_rate=0.0041116733755334825, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.3493395746084652, xgb_subsample=0.6746070406439421, xgb_min_split_loss=3.4259107721077195, xgb_min_child_weight=11.970323321105763)",,,COMPLETE
16,0.637874,2025-08-10 21:45:37.924285,2025-08-10 21:45:43.096052,0 days 00:00:05.171767,900,5.197688215713851,0.3568805059308597,13.039851043323493,0.00041626691278622013,4,15.142178113821029,1.6754622673065664,0.5887608944651198,0.04428199999999993,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.00041626691278622013, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.3568805059308597, xgb_subsample=0.5887608944651198, xgb_min_split_loss=1.6754622673065664, xgb_min_child_weight=15.142178113821029)",,,COMPLETE
17,0.686026,2025-08-10 21:45:43.096538,2025-08-10 21:46:25.139891,0 days 00:00:42.043353,900,15.702286053594461,0.5138046551270603,9.992362442992519,0.004357402746158412,8,18.436006908649667,2.281358941031667,0.410364516473109,0.30117799999999995,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=8, xgb_learning_rate=0.004357402746158412, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.5138046551270603, xgb_subsample=0.410364516473109, xgb_min_split_loss=2.281358941031667, xgb_min_child_weight=18.436006908649667)",,,COMPLETE
18,0.648064,2025-08-10 21:46:25.140492,2025-08-10 21:46:32.724179,0 days 00:00:07.583687,1000,10.656577035743856,0.3525584925168377,7.370254721384288,0.0005675340745421171,6,13.872765064935885,3.1511834632682474,0.7318600041007384,0.08920000000000006,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=6, xgb_learning_rate=0.0005675340745421171, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.3525584925168377, xgb_subsample=0.7318600041007384, xgb_min_split_loss=3.1511834632682474, xgb_min_child_weight=13.872765064935885)",,,COMPLETE
19,0.68967,2025-08-10 21:46:32.724689,2025-08-10 21:46:52.464836,0 days 00:00:19.740147,800,15.685139460406393,0.4582074332198885,14.405889703849335,0.00656641216739267,4,11.367951686460117,1.6370807273347778,0.5732769828129456,0.22861299999999996,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.00656641216739267, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.4582074332198885, xgb_subsample=0.5732769828129456, xgb_min_split_loss=1.6370807273347778, xgb_min_child_weight=11.367951686460117)",,,COMPLETE
20,0.686405,2025-08-10 21:46:52.465436,2025-08-10 21:47:05.973361,0 days 00:00:13.507925,800,19.90764177574563,0.6961361493811652,14.858623495813662,0.009827674611457336,4,10.882711676888004,1.443667723493201,0.37038815578359874,0.225742,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.009827674611457336, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.6961361493811652, xgb_subsample=0.37038815578359874, xgb_min_split_loss=1.443667723493201, xgb_min_child_weight=10.882711676888004)",,,COMPLETE
21,0.68642,2025-08-10 21:47:05.973844,2025-08-10 21:47:28.306791,0 days 00:00:22.332947,800,15.669918977053543,0.44779085902530374,11.53098608520494,0.006077240056123302,3,8.997185223585472,2.1273155724142754,0.5626747878990304,0.176717,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=3, xgb_learning_rate=0.006077240056123302, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.44779085902530374, xgb_subsample=0.5626747878990304, xgb_min_split_loss=2.1273155724142754, xgb_min_child_weight=8.997185223585472)",,,COMPLETE
22,0.689524,2025-08-10 21:47:28.307382,2025-08-10 21:47:50.784128,0 days 00:00:22.476746,1000,12.062889371164873,0.298280007552701,14.319356055252786,0.005991732075463966,4,11.376863151399096,1.5708076874974422,0.6636383120242649,0.24332999999999994,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.005991732075463966, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.298280007552701, xgb_subsample=0.6636383120242649, xgb_min_split_loss=1.5708076874974422, xgb_min_child_weight=11.376863151399096)",,,COMPLETE
23,0.687765,2025-08-10 21:47:50.784657,2025-08-10 21:48:10.845199,0 days 00:00:20.060542,900,15.598115699732874,0.4103285195627213,14.184863571377523,0.006441439106875715,4,8.178109340873311,1.4091607047113412,0.7062929591857119,0.22871000000000008,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.006441439106875715, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.4103285195627213, xgb_subsample=0.7062929591857119, xgb_min_split_loss=1.4091607047113412, xgb_min_child_weight=8.178109340873311)",,,COMPLETE
24,0.687945,2025-08-10 21:48:10.845782,2025-08-10 21:48:37.778858,0 days 00:00:26.933076,700,16.436693104110677,0.2858995506000682,14.301510884543465,0.005830517509033727,4,11.186338283044488,1.4111060965997266,0.6577052275943703,0.23486399999999996,"Hparams(val_split=0.4, seed=42, num_rounds=100000, early_stopping_rounds=500, dim_reduction_method='svd', xgb_max_depth=4, xgb_learning_rate=0.005830517509033727, xgb_num_parallel_tree=1, xgb_colsample_bynode=0.2858995506000682, xgb_subsample=0.6577052275943703, xgb_min_split_loss=1.4111060965997266, xgb_min_child_weight=11.186338283044488)",,,COMPLETE
