trial_number,timestamp,val_f1,train_f1,f1_discrepancy,val_err,train_err,err_discrepancy,hp_dim_n_components,hp_xgb_max_depth,hp_xgb_learning_rate,hp_xgb_subsample,hp_xgb_colsample_bynode,hp_xgb_min_child_weight,hp_xgb_min_split_loss,hp_xgb_lambda,hp_xgb_alpha,hp_val_split,hp_seed,hp_num_rounds,hp_early_stopping_rounds,hp_dim_reduction_method,hp_xgb_num_parallel_tree
10,2025-08-10T21:43:11.438449,0.651577,0.793635,0.14205800000000002,0.33706720977596744,0.198545101842871,0.13852210793309644,1000,8,0.0004124662544192987,0.7526032393382514,0.41280400711762066,15.353706103537174,1.0605769484110272,14.350647779441982,13.558217973225247,0.4,42,100000,500,svd,1
11,2025-08-10T21:43:43.233148,0.687294,0.890257,0.202963,0.29793424498108817,0.10484966052376334,0.19308458445732485,1000,3,0.008591078234494608,0.7092580057796721,0.39571862219022924,8.854726048529047,1.8923796255302456,10.999010191513522,13.403746254548363,0.4,42,100000,500,svd,1
12,2025-08-10T21:44:03.380911,0.68199,0.929488,0.247498,0.30418970032004655,0.06731328806983511,0.23687641225021144,200,10,0.008188645736295982,0.7973406487088657,0.4446751708234846,9.106157294317608,1.9896967104104073,12.601463892786585,14.841745978712943,0.4,42,100000,500,svd,1
13,2025-08-10T21:44:22.245518,0.68691,0.964909,0.277999,0.2945883037532732,0.03336566440349176,0.26122263934978146,1000,7,0.00424418357810481,0.5975345327552243,0.35015476499650033,12.453449946183598,1.709668311561046,11.01433954523066,11.272111424416511,0.4,42,100000,500,svd,1
14,2025-08-10T21:44:47.138658,0.686803,0.976295,0.28949199999999997,0.29386092522548735,0.02250242483026188,0.27135850039522547,1000,7,0.005040406297650448,0.6240912792852984,0.4860404284140414,12.966860455271904,1.9386318597838346,10.774518546835795,10.754644628506746,0.4,42,100000,500,svd,1
15,2025-08-10T21:45:13.114595,0.686195,0.932418,0.24622299999999997,0.29749781786441665,0.06440349175557711,0.23309432610883954,900,6,0.0041116733755334825,0.6746070406439421,0.3493395746084652,11.970323321105763,3.4259107721077195,5.232655729913404,10.997989884342173,0.4,42,100000,500,svd,1
16,2025-08-10T21:45:37.924297,0.637874,0.682156,0.04428199999999993,0.3471050334594123,0.3038797284190107,0.04322530504040162,900,4,0.00041626691278622013,0.5887608944651198,0.3568805059308597,15.142178113821029,1.6754622673065664,13.039851043323493,5.197688215713851,0.4,42,100000,500,svd,1
17,2025-08-10T21:45:43.096548,0.686026,0.987204,0.30117799999999995,0.2931335466977015,0.01212415130940834,0.2810093953882931,900,8,0.004357402746158412,0.410364516473109,0.5138046551270603,18.436006908649667,2.281358941031667,9.992362442992519,15.702286053594461,0.4,42,100000,500,svd,1
18,2025-08-10T21:46:25.140505,0.648064,0.737264,0.08920000000000006,0.34070410241489674,0.2530552861299709,0.08764881628492582,1000,6,0.0005675340745421171,0.7318600041007384,0.3525584925168377,13.872765064935885,3.1511834632682474,7.370254721384288,10.656577035743856,0.4,42,100000,500,svd,1
19,2025-08-10T21:46:32.724700,0.68967,0.918283,0.22861299999999996,0.2953156822810591,0.07798254122211445,0.21733314105894463,800,4,0.00656641216739267,0.5732769828129456,0.4582074332198885,11.367951686460117,1.6370807273347778,14.405889703849335,15.685139460406393,0.4,42,100000,500,svd,1
20,2025-08-10T21:46:52.465447,0.686405,0.912147,0.225742,0.29807972068664534,0.08380213385063046,0.2142775868360149,800,4,0.009827674611457336,0.37038815578359874,0.6961361493811652,10.882711676888004,1.443667723493201,14.858623495813662,19.90764177574563,0.4,42,100000,500,svd,1
21,2025-08-10T21:47:05.973856,0.68642,0.863137,0.176717,0.29997090485888855,0.13103782735208536,0.1689330775068032,800,3,0.006077240056123302,0.5626747878990304,0.44779085902530374,8.997185223585472,2.1273155724142754,11.53098608520494,15.669918977053543,0.4,42,100000,500,svd,1
22,2025-08-10T21:47:28.307394,0.689524,0.932854,0.24332999999999994,0.2945883037532732,0.06401551891367604,0.23057278483959717,1000,4,0.005991732075463966,0.6636383120242649,0.298280007552701,11.376863151399096,1.5708076874974422,14.319356055252786,12.062889371164873,0.4,42,100000,500,svd,1
23,2025-08-10T21:47:50.784669,0.687765,0.916475,0.22871000000000008,0.2966249636310736,0.07972841901066925,0.21689654462040436,900,4,0.006441439106875715,0.7062929591857119,0.4103285195627213,8.178109340873311,1.4091607047113412,14.184863571377523,15.598115699732874,0.4,42,100000,500,svd,1
